Stimulus,ELP_N_morphs,Crowdsourced_Mean_Morpheme_Count,Crowdsourced_Raw_SD,Crowdsourced_Raw_Median,Crowdsourced_Min,Crowdsourced_Max,Crowdsourced_N,BLUP_Adjusted_Moprheme_Count,BLUP_Adjustment,Transparencey_Measures: ,Signed_Discrepancy_BLUP_minus_ELP,Absolute_Discrepancy,Transparency_Proximity_0_1,Undersegmentation,Oversegmentation,BLUP_Rounded,Item_Rest_Cor,Item_Rest_N
floppy,2.00,1.85,0.38,2.00,1.00,2.00,13.00,1.93,-0.77,,-0.07,0.07,0.94,0.07,0.00,2.00,-0.34,13.00
fuzzy,2.00,1.82,0.40,2.00,1.00,2.00,11.00,1.91,-0.79,,-0.09,0.09,0.92,0.09,0.00,2.00,-0.46,11.00
barest,2.00,2.00,0.00,2.00,2.00,2.00,12.00,2.03,-0.68,,0.03,0.03,0.97,0.00,0.03,2.00,,12.00
biggest,2.00,2.00,0.00,2.00,2.00,2.00,12.00,1.96,-0.74,,-0.04,0.04,0.97,0.04,0.00,2.00,,12.00
bookie,2.00,2.00,0.00,2.00,2.00,2.00,8.00,2.13,-0.57,,0.13,0.13,0.88,0.00,0.13,2.00,,8.00
bottleful,2.00,2.08,0.29,2.00,2.00,3.00,12.00,1.95,-0.75,,-0.05,0.05,0.95,0.05,0.00,2.00,0.51,12.00
bulgy,2.00,1.92,0.29,2.00,1.00,2.00,12.00,2.03,-0.68,,0.03,0.03,0.97,0.00,0.03,2.00,0.67,12.00
changeably,3.00,2.42,0.51,2.00,2.00,3.00,12.00,2.46,-0.24,,-0.54,0.54,0.65,0.54,0.00,2.00,0.09,12.00
choker,2.00,1.90,0.32,2.00,1.00,2.00,10.00,1.91,-0.80,,-0.09,0.09,0.92,0.09,0.00,2.00,0.64,10.00
cleanest,2.00,1.91,0.30,2.00,1.00,2.00,11.00,1.93,-0.78,,-0.07,0.07,0.93,0.07,0.00,2.00,0.75,11.00
clincher,2.00,2.00,0.45,2.00,1.00,3.00,11.00,1.95,-0.76,,-0.05,0.05,0.95,0.05,0.00,2.00,0.01,11.00
closure,2.00,1.83,0.39,2.00,1.00,2.00,12.00,1.77,-0.93,,-0.23,0.23,0.81,0.23,0.00,2.00,0.44,12.00
coolness,2.00,2.09,0.30,2.00,2.00,3.00,11.00,2.08,-0.62,,0.08,0.08,0.93,0.00,0.08,2.00,0.35,11.00
cruelly,2.00,2.00,0.00,2.00,2.00,2.00,11.00,2.07,-0.64,,0.07,0.07,0.94,0.00,0.07,2.00,,11.00
downstream,2.00,1.85,0.38,2.00,1.00,2.00,13.00,1.87,-0.83,,-0.13,0.13,0.89,0.13,0.00,2.00,0.26,13.00
dumpy,2.00,2.08,0.29,2.00,2.00,3.00,12.00,1.97,-0.73,,-0.03,0.03,0.97,0.03,0.00,2.00,0.15,12.00
earthly,2.00,2.00,0.00,2.00,2.00,2.00,12.00,2.03,-0.68,,0.03,0.03,0.97,0.00,0.03,2.00,,12.00
edgiest,3.00,2.31,0.48,2.00,2.00,3.00,13.00,2.27,-0.44,,-0.73,0.73,0.58,0.73,0.00,2.00,0.01,13.00
famous,2.00,1.82,0.40,2.00,1.00,2.00,11.00,1.62,-1.08,,-0.38,0.38,0.73,0.38,0.00,2.00,0.38,11.00
fearless,2.00,2.09,0.30,2.00,2.00,3.00,11.00,2.03,-0.68,,0.03,0.03,0.97,0.00,0.03,2.00,0.17,11.00
flyer,2.00,1.92,0.29,2.00,1.00,2.00,12.00,2.02,-0.69,,0.02,0.02,0.98,0.00,0.02,2.00,0.08,12.00
greatest,2.00,1.92,0.29,2.00,1.00,2.00,12.00,2.03,-0.68,,0.03,0.03,0.97,0.00,0.03,2.00,0.71,12.00
healthier,3.00,2.44,0.53,2.00,2.00,3.00,9.00,2.33,-0.37,,-0.67,0.67,0.60,0.67,0.00,2.00,0.32,9.00
heartily,3.00,2.27,0.47,2.00,2.00,3.00,11.00,2.28,-0.42,,-0.72,0.72,0.58,0.72,0.00,2.00,-0.04,11.00
holder,2.00,1.91,0.30,2.00,1.00,2.00,11.00,1.84,-0.86,,-0.16,0.16,0.86,0.16,0.00,2.00,0.34,11.00
impress,2.00,1.89,0.33,2.00,1.00,2.00,9.00,2.03,-0.67,,0.03,0.03,0.97,0.00,0.03,2.00,0.23,9.00
lameness,2.00,2.17,0.58,2.00,2.00,4.00,12.00,2.06,-0.65,,0.06,0.06,0.95,0.00,0.06,2.00,-0.26,12.00
looter,2.00,2.00,0.00,2.00,2.00,2.00,13.00,1.91,-0.79,,-0.09,0.09,0.92,0.09,0.00,2.00,,13.00
miner,2.00,1.67,0.49,2.00,1.00,2.00,12.00,1.77,-0.94,,-0.23,0.23,0.81,0.23,0.00,2.00,0.38,12.00
outboard,2.00,2.00,0.00,2.00,2.00,2.00,10.00,2.01,-0.69,,0.01,0.01,0.99,0.00,0.01,2.00,,10.00
outdid,2.00,2.00,0.00,2.00,2.00,2.00,13.00,1.86,-0.85,,-0.14,0.14,0.88,0.14,0.00,2.00,,13.00
outflank,2.00,2.00,0.00,2.00,2.00,2.00,10.00,2.09,-0.61,,0.09,0.09,0.91,0.00,0.09,2.00,,10.00
outstay,2.00,1.92,0.29,2.00,1.00,2.00,12.00,1.79,-0.91,,-0.21,0.21,0.83,0.21,0.00,2.00,0.44,12.00
outwork,2.00,2.00,0.00,2.00,2.00,2.00,12.00,1.93,-0.78,,-0.07,0.07,0.93,0.07,0.00,2.00,,12.00
overalls,3.00,2.50,0.52,2.50,2.00,3.00,12.00,2.45,-0.26,,-0.55,0.55,0.64,0.55,0.00,2.00,0.15,12.00
ratty,2.00,2.00,0.00,2.00,2.00,2.00,12.00,1.97,-0.74,,-0.03,0.03,0.97,0.03,0.00,2.00,,12.00
renew,2.00,2.00,0.00,2.00,2.00,2.00,12.00,1.98,-0.72,,-0.02,0.02,0.98,0.02,0.00,2.00,,12.00
sleekest,2.00,2.00,0.00,2.00,2.00,2.00,12.00,1.91,-0.79,,-0.09,0.09,0.92,0.09,0.00,2.00,,12.00
tallest,2.00,2.00,0.00,2.00,2.00,2.00,11.00,2.12,-0.59,,0.12,0.12,0.90,0.00,0.12,2.00,,11.00
uncork,2.00,2.00,0.00,2.00,2.00,2.00,9.00,2.04,-0.66,,0.04,0.04,0.96,0.00,0.04,2.00,,9.00
watcher,2.00,1.82,0.40,2.00,1.00,2.00,11.00,1.95,-0.75,,-0.05,0.05,0.95,0.05,0.00,2.00,0.42,11.00
watchman,2.00,1.92,0.28,2.00,1.00,2.00,13.00,2.00,-0.71,,0.00,0.00,1.00,0.00,0.00,2.00,0.32,13.00
wealthy,2.00,2.00,0.00,2.00,2.00,2.00,13.00,1.90,-0.80,,-0.10,0.10,0.91,0.10,0.00,2.00,,13.00
whiten,2.00,2.00,0.00,2.00,2.00,2.00,12.00,1.95,-0.76,,-0.05,0.05,0.95,0.05,0.00,2.00,,12.00
wholeness,2.00,2.00,0.00,2.00,2.00,2.00,9.00,1.99,-0.72,,-0.01,0.01,0.99,0.01,0.00,2.00,,9.00
