Word,Nmorph_ELP,LLM_Predicted_Estimate,Signed_Discrepancy_GPT_minus_NMorph,Absolute_Discrepancy,Transparency_Proximity_0_1,Undersegmentation,Oversegmentation
abacuses,2,2,0,0,1,0,0
abandoned,2,3,1,1,0.5,0,1
abandoning,2,3,1,1,0.5,0,1
abandonment,2,3,1,1,0.5,0,1
abandons,2,3,1,1,0.5,0,1
abase,2,2,0,0,1,0,0
abashed,2,3,1,1,0.5,0,1
abashes,2,3,1,1,0.5,0,1
abashing,2,3,1,1,0.5,0,1
abated,2,3,1,1,0.5,0,1
abatement,2,3,1,1,0.5,0,1
abates,2,2,0,0,1,0,0
abating,2,3,1,1,0.5,0,1
abattoirs,2,3,1,1,0.5,0,1
abbesses,2,3,1,1,0.5,0,1
abbeys,2,2,0,0,1,0,0
abbots,2,2,0,0,1,0,0
abdicated,2,3,1,1,0.5,0,1
abdicates,2,3,1,1,0.5,0,1
abdicating,2,3,1,1,0.5,0,1
abdication,2,3,1,1,0.5,0,1
abdomens,2,3,1,1,0.5,0,1
abdominal,2,3,1,1,0.5,0,1
abduct,2,2,0,0,1,0,0
Abel's,2,2,0,0,1,0,0
ABELSON,2,2,0,0,1,0,0
aberrant,2,2,0,0,1,0,0
abets,2,2,0,0,1,0,0
abetted,2,3,1,1,0.5,0,1
abetting,2,3,1,1,0.5,0,1
abettor,2,2,0,0,1,0,0
abeyance,2,2,0,0,1,0,0
abeyant,2,2,0,0,1,0,0
abhorred,2,3,1,1,0.5,0,1
abhorrence,2,3,1,1,0.5,0,1
abhorrent,2,3,1,1,0.5,0,1
abhorring,2,3,1,1,0.5,0,1
abhors,2,2,0,0,1,0,0
abided,2,2,0,0,1,0,0
abides,2,2,0,0,1,0,0
abiding,2,2,0,0,1,0,0
ability,2,2,0,0,1,0,0
abjection,2,3,1,1,0.5,0,1
abjectly,2,2,0,0,1,0,0
abjure,2,2,0,0,1,0,0
ABLATED,2,3,1,1,0.5,0,1
ABLATION,2,3,1,1,0.5,0,1
ablative,2,3,1,1,0.5,0,1
ablauts,2,2,0,0,1,0,0
ablaze,2,2,0,0,1,0,0
abler,2,2,0,0,1,0,0
ablest,2,2,0,0,1,0,0
ablutions,2,3,1,1,0.5,0,1
ably,2,2,0,0,1,0,0
abnegate,2,2,0,0,1,0,0
abodes,2,2,0,0,1,0,0
abolished,2,3,1,1,0.5,0,1
abolishes,2,3,1,1,0.5,0,1
abolishing,2,3,1,1,0.5,0,1
abolition,2,3,1,1,0.5,0,1
abominable,2,3,1,1,0.5,0,1
abominate,2,3,1,1,0.5,0,1
aborted,2,3,1,1,0.5,0,1
aborting,2,2,0,0,1,0,0
abortion,2,2,0,0,1,0,0
abortive,2,2,0,0,1,0,0
aborts,2,2,0,0,1,0,0
abos,2,2,0,0,1,0,0
abounded,2,3,1,1,0.5,0,1
abounding,2,3,1,1,0.5,0,1
abounds,2,3,1,1,0.5,0,1
aboveboard,2,2,0,0,1,0,0
aboveground,2,2,0,0,1,0,0
abraded,2,2,0,0,1,0,0
abrades,2,3,1,1,0.5,0,1
abrading,2,3,1,1,0.5,0,1
abrasion,2,2,0,0,1,0,0
abrasive,2,2,0,0,1,0,0
abridged,2,2,0,0,1,0,0
abridges,2,3,1,1,0.5,0,1
abridging,2,2,0,0,1,0,0
abridgment,2,2,0,0,1,0,0
abruptly,2,2,0,0,1,0,0
abruptness,2,2,0,0,1,0,0
abscesses,2,3,1,1,0.5,0,1
abscissa,2,2,0,0,1,0,0
absconded,2,3,1,1,0.5,0,1
absconding,2,3,1,1,0.5,0,1
absconds,2,2,0,0,1,0,0
absence,2,2,0,0,1,0,0
absent,2,2,0,0,1,0,0
ABSENTIA,2,2,0,0,1,0,0
absolutely,2,3,1,1,0.5,0,1
absoluteness,2,3,1,1,0.5,0,1
absolutes,2,3,1,1,0.5,0,1
absolution,2,3,1,1,0.5,0,1
absolutism,2,3,1,1,0.5,0,1
absolve,2,2,0,0,1,0,0
absorb,2,2,0,0,1,0,0
abstained,2,3,1,1,0.5,0,1
abstainer,2,3,1,1,0.5,0,1
abstaining,2,3,1,1,0.5,0,1
abstains,2,3,1,1,0.5,0,1
abstemiously,2,3,1,1,0.5,0,1
abstemiousness,2,3,1,1,0.5,0,1
abstention,2,3,1,1,0.5,0,1
abstinence,2,3,1,1,0.5,0,1
abstinent,2,3,1,1,0.5,0,1
abstract,2,2,0,0,1,0,0
abstrusely,2,2,0,0,1,0,0
abstruseness,2,3,1,1,0.5,0,1
absurdity,2,3,1,1,0.5,0,1
absurdly,2,3,1,1,0.5,0,1
abundance,2,2,0,0,1,0,0
abundant,2,2,0,0,1,0,0
abused,2,3,1,1,0.5,0,1
abuses,2,3,1,1,0.5,0,1
abusing,2,3,1,1,0.5,0,1
abusive,2,2,0,0,1,0,0
abutment,2,2,0,0,1,0,0
abysmal,2,2,0,0,1,0,0
abysses,2,2,0,0,1,0,0
acacias,2,2,0,0,1,0,0
academic,2,2,0,0,1,0,0
academy,2,2,0,0,1,0,0
accede,2,2,0,0,1,0,0
accented,2,3,1,1,0.5,0,1
accenting,2,3,1,1,0.5,0,1
accents,2,2,0,0,1,0,0
accentual,2,2,0,0,1,0,0
accentuate,2,3,1,1,0.5,0,1
accept,2,2,0,0,1,0,0
access,2,2,0,0,1,0,0
accessory,2,2,0,0,1,0,0
accidence,2,2,0,0,1,0,0
accident,2,2,0,0,1,0,0
acclaimed,2,3,1,1,0.5,0,1
acclaiming,2,3,1,1,0.5,0,1
acclaims,2,3,1,1,0.5,0,1
acclamation,2,3,1,1,0.5,0,1
acclimate,2,2,0,0,1,0,0
acclivity,2,3,1,1,0.5,0,1
accolades,2,3,1,1,0.5,0,1
accommodated,2,3,1,1,0.5,0,1
accommodates,2,3,1,1,0.5,0,1
accommodating,2,3,1,1,0.5,0,1
accommodation,2,3,1,1,0.5,0,1
accomplices,2,3,1,1,0.5,0,1
accomplished,2,3,1,1,0.5,0,1
accomplishes,2,3,1,1,0.5,0,1
accomplishing,2,3,1,1,0.5,0,1
accomplishment,2,3,1,1,0.5,0,1
accord,2,2,0,0,1,0,0
accordions,2,3,1,1,0.5,0,1
accosted,2,3,1,1,0.5,0,1
accosting,2,3,1,1,0.5,0,1
accosts,2,2,0,0,1,0,0
accountable,2,3,1,1,0.5,0,1
accountant,2,3,1,1,0.5,0,1
accounted,2,3,1,1,0.5,0,1
accounting,2,3,1,1,0.5,0,1
accounts,2,2,0,0,1,0,0
ACCOUTERMENTS,2,3,1,1,0.5,0,1
accoutrements,2,3,1,1,0.5,0,1
accredit,2,2,0,0,1,0,0
accreted,2,3,1,1,0.5,0,1
accretes,2,2,0,0,1,0,0
accreting,2,3,1,1,0.5,0,1
accretion,2,2,0,0,1,0,0
accrued,2,3,1,1,0.5,0,1
accrues,2,2,0,0,1,0,0
accruing,2,2,0,0,1,0,0
accuracy,2,2,0,0,1,0,0
accurate,2,2,0,0,1,0,0
accusation,2,3,1,1,0.5,0,1
accusative,2,3,1,1,0.5,0,1
accused,2,2,0,0,1,0,0
accuser,2,2,0,0,1,0,0
accuses,2,2,0,0,1,0,0
accusing,2,3,1,1,0.5,0,1
accustom,2,2,0,0,1,0,0
acerbic,2,2,0,0,1,0,0
acerbity,2,2,0,0,1,0,0
aces,2,2,0,0,1,0,0
ACETONEMIA,2,3,1,1,0.5,0,1
ached,2,2,0,0,1,0,0
aches,2,2,0,0,1,0,0
achievable,2,3,1,1,0.5,0,1
achieved,2,2,0,0,1,0,0
achievement,2,2,0,0,1,0,0
achieves,2,2,0,0,1,0,0
achieving,2,3,1,1,0.5,0,1
aching,2,2,0,0,1,0,0
acidic,2,2,0,0,1,0,0
acidify,2,2,0,0,1,0,0
acidity,2,2,0,0,1,0,0
acids,2,2,0,0,1,0,0
acolytes,2,2,0,0,1,0,0
aconites,2,3,1,1,0.5,0,1
acorns,2,2,0,0,1,0,0
acoustic,2,2,0,0,1,0,0
acoustics,2,3,1,1,0.5,0,1
acquaintance,2,3,1,1,0.5,0,1
acquainted,2,3,1,1,0.5,0,1
